operator_id,skill_level,experience_years,safety_score,fuel_efficiency_score,precision_score,idle_management_score,response_time_score,weakest_skill,shifts_completed,avg_idle_pct
OP1001,Expert,13.7,87,83,85,82,74,response_time,849,34.5
OP1002,Expert,18.3,91,100,79,83,100,precision,609,33.0
OP1003,Expert,20.4,81,77,91,88,100,fuel_efficiency,804,5
OP1004,Intermediate,6.3,64,62,81,69,59,response_time,262,22.7
OP1005,Expert,18.5,100,100,92,83,81,response_time,621,40.2
OP1006,Intermediate,3.3,77,72,76,58,65,idle_management,112,18.0
OP1007,Beginner,1.2,50,56,40,43,61,precision,68,37.7
OP1008,Beginner,1.2,60,60,51,40,52,idle_management,68,34.2
OP1009,Intermediate,5.2,84,71,98,63,79,idle_management,234,24.4
OP1010,Intermediate,8.6,75,90,84,47,71,idle_management,398,36.0
OP1011,Intermediate,6.7,83,53,53,41,74,idle_management,274,39.2
OP1012,Beginner,1.4,62,42,45,40,60,idle_management,63,47.1
OP1013,Expert,18.9,100,90,86,96,89,precision,668,12.9
OP1014,Expert,21.2,88,77,70,81,92,precision,813,23.6
OP1015,Beginner,0.6,54,53,68,47,53,idle_management,21,26.2
OP1016,Beginner,2.9,59,40,53,47,72,fuel_efficiency,149,38.7
OP1017,Expert,13.3,100,75,93,66,93,idle_management,614,23.3
OP1018,Expert,15.8,86,100,92,57,95,idle_management,599,20.0
OP1019,Intermediate,4.5,77,71,75,40,65,idle_management,223,21.3
OP1020,Intermediate,8.4,87,86,86,40,81,idle_management,191,26.5
OP1021,Intermediate,4.3,89,69,62,88,80,precision,99,44.3
OP1022,Beginner,0.6,62,42,55,41,68,idle_management,16,29.8
OP1023,Beginner,2.1,62,68,48,49,59,precision,73,33.3
OP1024,Beginner,1.5,65,50,47,68,64,precision,60,17.9
OP1025,Expert,17.0,87,75,97,78,94,fuel_efficiency,682,53.4
OP1026,Beginner,2.3,64,48,61,44,64,idle_management,112,25.7
OP1027,Intermediate,6.2,76,58,64,55,67,idle_management,314,28.2
OP1028,Beginner,1.6,59,65,73,47,45,response_time,61,47.1
OP1029,Intermediate,8.7,76,52,69,67,71,fuel_efficiency,298,36.7
OP1030,Intermediate,4.1,70,84,70,54,72,idle_management,211,23.4
OP1031,Expert,22.8,87,87,93,88,100,safety,832,24.9
OP1032,Intermediate,3.9,86,59,68,78,81,fuel_efficiency,163,46.3
OP1033,Expert,17.2,83,88,82,68,85,idle_management,764,32.6
OP1034,Beginner,1.3,43,53,56,40,66,idle_management,62,15.5
OP1035,Beginner,2.8,55,43,60,40,55,idle_management,99,46.4
OP1036,Intermediate,3.3,77,69,72,77,76,fuel_efficiency,128,14.4
OP1037,Expert,24.1,83,90,92,97,85,safety,1018,41.9
OP1038,Beginner,2.4,59,49,55,40,64,idle_management,116,37.1
OP1039,Expert,10.2,100,100,85,79,91,idle_management,626,15.0
OP1040,Intermediate,8.2,63,71,60,40,58,idle_management,231,32.3
OP1041,Intermediate,4.3,85,58,70,50,79,idle_management,133,11.2
OP1042,Beginner,1.3,70,40,48,48,58,fuel_efficiency,73,25.3
OP1043,Expert,19.0,93,70,83,73,96,fuel_efficiency,870,16.6
OP1044,Beginner,1.1,59,58,50,45,59,idle_management,63,35.5
OP1045,Intermediate,6.5,76,63,63,72,70,fuel_efficiency,295,31.1
OP1046,Beginner,2.1,44,60,44,40,66,idle_management,60,38.4
OP1047,Beginner,2.8,59,50,47,63,69,precision,62,32.9
OP1048,Beginner,2.2,48,58,44,42,59,idle_management,107,26.4
OP1049,Beginner,0.8,58,50,48,62,54,precision,36,44.3
OP1050,Intermediate,7.7,72,68,70,62,66,idle_management,384,23.8
OP1051,Expert,11.2,100,85,93,90,98,fuel_efficiency,504,40.5
OP1052,Intermediate,5.8,78,75,72,52,75,idle_management,134,37.3
OP1053,Intermediate,7.0,76,71,81,65,82,idle_management,293,35.4
OP1054,Intermediate,5.0,68,52,64,47,80,idle_management,199,29.5
OP1055,Expert,12.2,97,83,96,92,85,fuel_efficiency,478,34.8
OP1056,Intermediate,4.7,72,50,77,78,74,fuel_efficiency,174,42.2
OP1057,Beginner,2.8,68,40,56,48,53,fuel_efficiency,156,7.7
OP1058,Intermediate,3.3,84,64,71,59,70,idle_management,95,38.3
OP1059,Expert,22.2,100,93,94,66,100,idle_management,1200,56.9
OP1060,Expert,10.8,94,73,81,85,83,fuel_efficiency,449,24.7
