event_id,timestamp,machine_id,machine_type,operator_id,shift_type,event_type,speed_kmh,worker_distance_m,engine_temp_c,weather,seatbelt_status,risk_level,response_time_sec,resolved
EVT00001,2025-03-10 06:22:00,DZR004,Dozer,OP1035,day,normal,3.88,11.8,80.6,Sunny,Unfastened,LOW,4.0,False
EVT00002,2025-03-10 07:38:00,DZR004,Dozer,OP1035,day,normal,7.74,26.7,85.4,Sunny,Unfastened,LOW,1,True
EVT00003,2025-03-10 07:56:00,DZR004,Dozer,OP1035,day,normal,4.11,17.8,88.9,Sunny,Unfastened,LOW,6.4,True
EVT00004,2025-03-10 08:06:00,DZR004,Dozer,OP1035,day,normal,5.38,17.1,91.9,Sunny,Unfastened,LOW,10.1,True
EVT00005,2025-03-10 08:08:00,DZR004,Dozer,OP1035,day,normal,7.96,22.6,85.2,Sunny,Unfastened,LOW,2.7,True
EVT00006,2025-03-10 08:28:00,DZR004,Dozer,OP1035,day,normal,6.34,14.5,83.5,Sunny,Unfastened,LOW,7.4,True
EVT00007,2025-03-10 08:30:00,DZR004,Dozer,OP1035,day,normal,3.58,26.7,89.6,Sunny,Unfastened,LOW,8.0,True
EVT00008,2025-03-10 08:34:00,DZR004,Dozer,OP1035,day,normal,7.14,24.7,90.3,Sunny,Unfastened,LOW,8.4,True
EVT00009,2025-03-10 08:38:00,DZR004,Dozer,OP1035,day,normal,6.35,20.7,86.0,Sunny,Unfastened,LOW,6.7,False
EVT00010,2025-03-10 08:52:00,DZR004,Dozer,OP1035,day,normal,5.81,1.5,89.9,Sunny,Fastened,HIGH,12.0,True
EVT00011,2025-03-10 09:00:00,DZR004,Dozer,OP1035,day,normal,6.43,10.1,82.0,Sunny,Unfastened,LOW,1,False
EVT00012,2025-03-10 09:08:00,DZR004,Dozer,OP1035,day,normal,4.75,5.7,89.2,Sunny,Unfastened,MEDIUM,5.5,True
EVT00013,2025-03-10 09:16:00,DZR004,Dozer,OP1035,day,normal,4.2,26.3,87.4,Sunny,Unfastened,LOW,10.2,True
EVT00014,2025-03-10 09:38:00,DZR004,Dozer,OP1035,day,normal,4.75,20.4,89.7,Sunny,Unfastened,LOW,5.7,False
EVT00015,2025-03-10 09:50:00,DZR004,Dozer,OP1035,day,normal,6.08,0.5,80.6,Sunny,Fastened,HIGH,2.2,True
EVT00016,2025-03-10 10:02:00,DZR004,Dozer,OP1035,day,normal,8.15,18.9,86.7,Sunny,Unfastened,LOW,9.6,True
EVT00017,2025-03-10 10:16:00,DZR004,Dozer,OP1035,day,normal,4.92,20.0,89.4,Sunny,Unfastened,LOW,4.4,True
EVT00018,2025-03-10 10:24:00,DZR004,Dozer,OP1035,day,normal,7.58,8.6,84.9,Sunny,Unfastened,LOW,12.9,True
EVT00019,2025-03-10 10:56:00,DZR004,Dozer,OP1035,day,normal,6.76,28.1,86.6,Sunny,Unfastened,LOW,8.4,True
EVT00020,2025-03-10 11:04:00,DZR004,Dozer,OP1035,day,erratic_accel,5.15,17.0,88.7,Sunny,Unfastened,LOW,8.2,True
EVT00021,2025-03-10 11:08:00,DZR004,Dozer,OP1035,day,erratic_accel,5.63,30.1,89.7,Sunny,Unfastened,LOW,3.8,True
EVT00022,2025-03-10 11:14:00,DZR004,Dozer,OP1035,day,erratic_accel,4.03,20.3,91.6,Sunny,Unfastened,LOW,11.8,True
EVT00023,2025-03-10 11:28:00,DZR004,Dozer,OP1035,day,erratic_accel,3.41,14.0,82.6,Sunny,Unfastened,LOW,12.2,False
EVT00024,2025-03-10 11:46:00,DZR004,Dozer,OP1035,day,erratic_accel,6.27,18.3,89.9,Sunny,Unfastened,LOW,5.3,True
EVT00025,2025-03-10 12:14:00,DZR004,Dozer,OP1035,day,normal,3.4,19.2,90.5,Sunny,Unfastened,LOW,6.9,True
EVT00026,2025-03-10 12:58:00,DZR004,Dozer,OP1035,day,normal,9.63,0.5,94.0,Sunny,Fastened,HIGH,7.9,True
EVT00027,2025-03-10 13:00:00,DZR004,Dozer,OP1035,day,normal,5.45,21.8,88.0,Sunny,Unfastened,LOW,11.4,True
EVT00028,2025-03-10 13:18:00,DZR004,Dozer,OP1035,day,normal,6.08,29.3,91.2,Sunny,Unfastened,LOW,10.3,True
EVT00029,2025-03-10 13:28:00,DZR004,Dozer,OP1035,day,normal,3.4,15.3,82.6,Sunny,Unfastened,LOW,9.6,False
EVT00030,2025-03-10 13:30:00,DZR004,Dozer,OP1035,day,normal,2.09,9.7,92.1,Sunny,Unfastened,LOW,7.3,True
