event_id,timestamp,machine_id,machine_type,operator_id,shift_type,event_type,speed_kmh,worker_distance_m,engine_temp_c,weather,seatbelt_status,risk_level,response_time_sec,resolved,fuel_rate_lph,acceleration_events
SYNTH010316,2025-06-25 17:07:09,EXC002,Excavator,OP1036,day,overspeed,17.52,9.1,93.5,Cloudy,Unfastened,HIGH,10.0,True,19.57,8
SYNTH010169,2025-06-24 04:17:54,DZR001,Dozer,OP1020,night,high_fuel,4.02,21.8,101.4,Windy,Fastened,LOW,1.2,True,33.67,4
EVT00097,2025-12-10 09:00:00,GRD003,Grader,OP1019,day,proximity_breach,7.09,2.1,85.8,Cloudy,Fastened,HIGH,5.0,False,9.75,4
SYNTH010062,2025-06-23 01:31:30,EXC005,Excavator,OP1027,night,erratic_accel,15.76,15.2,92.8,Windy,Fastened,HIGH,5.7,False,15.02,14
SYNTH010409,2025-06-26 16:26:17,GRD001,Grader,OP1005,day,proximity_breach,3.35,0.7,87.1,Sunny,Fastened,HIGH,14.8,True,9.52,1
SYNTH010170,2025-06-24 04:38:47,GRD002,Grader,OP1058,night,high_fuel,5.99,20.7,92.4,Rainy,Fastened,MEDIUM,6.4,True,24.25,5
EVT00382,2025-09-23 16:56:00,EXC005,Excavator,OP1044,day,normal,4.63,1.3,82.9,Windy,Unfastened,MEDIUM,3.4,True,9.34,1
SYNTH010432,2025-06-26 22:06:35,EXC004,Excavator,OP1028,night,proximity_breach,7.64,2.6,81.7,Rainy,Fastened,HIGH,3.2,False,11.9,2
EVT00157,2026-05-05 22:38:00,EXC005,Excavator,OP1025,night,normal,5.87,22.3,88.7,Cloudy,Unfastened,LOW,1.5,True,6.27,1
EVT00631,2025-05-14 10:48:00,BCK004,Backhoe,OP1021,day,overspeed,11.36,21.5,82.2,Sunny,Unfastened,LOW,7.3,True,18.77,5
EVT00527,2026-08-11 17:58:00,GRD002,Grader,OP1027,day,normal,4.93,3.6,81.1,Sunny,Unfastened,MEDIUM,9.9,True,7.67,0
SYNTH010354,2025-06-26 02:31:42,LDR001,Loader,OP1018,night,temp_spike,3.62,24.2,124.7,Sunny,Fastened,MEDIUM,12.5,True,13.58,0
EVT00310,2025-10-03 20:48:00,LDR002,Loader,OP1009,night,proximity_breach,9.32,1.3,93.3,Cloudy,Fastened,HIGH,1.9,True,8.64,1
SYNTH010258,2025-06-25 02:41:50,BCK003,Backhoe,OP1024,night,high_fuel,5.02,11.6,86.3,Windy,Fastened,MEDIUM,5.5,True,24.77,3
SYNTH010013,2025-06-22 13:17:24,EXC005,Excavator,OP1049,day,erratic_accel,11.82,11.3,99.0,Cloudy,Unfastened,HIGH,13.2,False,19.94,7
EVT00271,2026-06-18 12:00:00,LDR002,Loader,OP1050,day,temp_spike,3.46,9.6,109.3,Rainy,Fastened,MEDIUM,7.0,True,17.25,2
SYNTH010346,2025-06-26 00:32:44,EXC004,Excavator,OP1012,night,temp_spike,3.15,12.9,111.1,Rainy,Fastened,HIGH,9.2,False,11.21,0
EVT00478,2025-11-20 15:10:00,EXC002,Excavator,OP1029,day,proximity_breach,7.44,1.7,89.5,Sunny,Fastened,HIGH,7.1,True,7.27,2
EVT00209,2025-04-11 08:32:00,EXC002,Excavator,OP1053,day,normal,6.94,28.8,86.3,Windy,Unfastened,LOW,13.0,True,9.75,1
EVT00299,2026-06-18 16:36:00,LDR002,Loader,OP1050,day,normal,5.4,27.9,84.2,Rainy,Unfastened,LOW,10.2,True,6.8,2
SYNTH010133,2025-06-23 19:25:31,GRD003,Grader,OP1058,day,high_fuel,5.6,22.2,91.2,Windy,Fastened,LOW,2.8,False,28.63,3
EVT00632,2025-05-14 10:52:00,BCK004,Backhoe,OP1021,day,overspeed,11.89,13.5,91.8,Sunny,Unfastened,LOW,2.5,True,18.49,7
SYNTH010149,2025-06-23 23:20:58,EXC004,Excavator,OP1052,night,high_fuel,4.02,14.6,90.9,Windy,Unfastened,MEDIUM,5.1,False,26.9,4
EVT00159,2026-05-05 23:42:00,EXC005,Excavator,OP1025,night,normal,6.87,33.5,91.6,Cloudy,Unfastened,LOW,12.6,True,9.24,0
EVT00486,2025-11-20 16:08:00,EXC002,Excavator,OP1029,day,normal,6.44,16.1,89.0,Sunny,Unfastened,LOW,13.1,False,9.66,0
SYNTH010309,2025-06-25 15:17:41,DZR003,Dozer,OP1030,day,overspeed,16.39,21.6,101.2,Cloudy,Unfastened,MEDIUM,2.5,False,14.48,4
SYNTH010040,2025-06-22 20:10:48,GRD002,Grader,OP1016,night,erratic_accel,10.68,9.3,86.6,Cloudy,Fastened,HIGH,10.3,True,18.61,6
EVT00600,2025-01-28 02:24:00,EXC007,Excavator,OP1003,night,normal,5.4,6.4,87.1,Sunny,Unfastened,MEDIUM,2.9,False,6.72,0
EVT00334,2025-10-03 23:32:00,LDR002,Loader,OP1009,night,normal,5.4,18.7,91.6,Cloudy,Unfastened,LOW,6.2,True,5.44,2
SYNTH010337,2025-06-25 22:22:12,LDR001,Loader,OP1040,night,temp_spike,4.59,22.4,120.6,Cloudy,Unfastened,HIGH,4.7,True,10.77,1
EVT00433,2025-07-22 03:34:00,GRD003,Grader,OP1056,night,normal,5.63,15.5,86.1,Rainy,Unfastened,LOW,9.9,False,8.97,2
EVT00179,2026-05-06 02:10:00,EXC005,Excavator,OP1025,night,proximity_breach,5.78,1.9,88.2,Cloudy,Fastened,HIGH,1.0,True,10.36,4
SYNTH010082,2025-06-23 06:39:15,EXC004,Excavator,OP1002,day,erratic_accel,4.78,12.9,100.0,Sunny,Unfastened,MEDIUM,12.2,True,17.07,7
SYNTH010139,2025-06-23 20:45:44,DZR002,Dozer,OP1049,night,high_fuel,7.65,19.0,89.6,Sunny,Fastened,MEDIUM,8.4,True,27.51,2
EVT00057,2025-12-17 08:28:00,EXC006,Excavator,OP1045,day,temp_spike,5.71,27.8,106.0,Windy,Fastened,MEDIUM,7.7,True,13.42,1
EVT00389,2025-07-21 19:38:00,GRD003,Grader,OP1056,night,normal,4.35,9.5,94.4,Rainy,Unfastened,LOW,10.2,False,9.45,0
SYNTH010461,2025-06-27 05:20:41,DZR001,Dozer,OP1010,night,proximity_breach,3.9,1.7,93.9,Cloudy,Fastened,HIGH,2.2,True,6.4,1
SYNTH010102,2025-06-23 11:33:42,GRD001,Grader,OP1045,day,erratic_accel,12.62,21.2,95.9,Sunny,Unfastened,HIGH,1.6,False,15.31,9
SYNTH010201,2025-06-24 12:25:35,LDR003,Loader,OP1043,day,high_fuel,4.06,25.5,102.7,Cloudy,Fastened,MEDIUM,5.0,False,34.96,5
EVT00495,2026-08-11 06:44:00,GRD002,Grader,OP1027,day,normal,8.09,26.2,87.0,Sunny,Unfastened,LOW,4.7,True,9.19,0
EVT00087,2025-12-10 06:18:00,GRD003,Grader,OP1019,day,normal,5.24,0.5,66.1,Cloudy,Fastened,HIGH,3.1,False,7.51,1
EVT00045,2025-03-10 17:12:00,DZR004,Dozer,OP1035,day,normal,4.53,16.5,88.2,Sunny,Unfastened,LOW,5.8,True,9.63,1
SYNTH010105,2025-06-23 12:26:53,BCK004,Backhoe,OP1002,day,erratic_accel,4.14,12.2,86.5,Sunny,Unfastened,HIGH,13.7,False,14.94,14
EVT00089,2025-12-10 06:42:00,GRD003,Grader,OP1019,day,normal,6.25,13.7,89.7,Cloudy,Unfastened,LOW,4.4,False,8.17,1
EVT00356,2025-09-23 07:22:00,EXC005,Excavator,OP1044,day,normal,7.49,21.9,88.8,Windy,Unfastened,LOW,9.1,True,9.48,2
EVT00546,2026-09-07 11:20:00,LDR001,Loader,OP1034,day,normal,8.02,13.8,85.1,Windy,Unfastened,LOW,6.3,True,6.02,2
EVT00549,2026-09-07 12:28:00,LDR001,Loader,OP1034,day,normal,7.89,1.1,86.0,Windy,Fastened,HIGH,9.7,True,8.68,0
SYNTH010343,2025-06-25 23:46:36,LDR003,Loader,OP1046,night,temp_spike,2.93,15.6,114.6,Rainy,Unfastened,HIGH,4.9,True,15.61,3
SYNTH010401,2025-06-26 14:21:29,GRD001,Grader,OP1033,day,temp_spike,4.44,11.5,118.8,Foggy,Unfastened,MEDIUM,7.7,True,14.53,0
EVT00523,2026-08-11 15:26:00,GRD002,Grader,OP1027,day,normal,6.52,20.2,90.1,Sunny,Unfastened,LOW,7.9,True,5.95,0
EVT00290,2026-06-18 14:28:00,LDR002,Loader,OP1050,day,normal,4.98,18.3,84.7,Rainy,Unfastened,LOW,3.8,True,7.27,0
SYNTH010255,2025-06-25 01:52:56,BCK001,Backhoe,OP1040,night,high_fuel,3.64,18.0,85.8,Windy,Fastened,MEDIUM,8.8,True,22.02,5
EVT00535,2026-09-07 08:12:00,LDR001,Loader,OP1034,day,normal,6.89,1.8,88.4,Windy,Fastened,HIGH,8.1,True,9.33,0
EVT00479,2025-11-20 15:12:00,EXC002,Excavator,OP1029,day,proximity_breach,5.81,0.6,90.9,Sunny,Unfastened,HIGH,9.3,True,8.4,2
EVT00071,2025-12-17 11:30:00,EXC006,Excavator,OP1045,day,normal,4.86,22.5,89.0,Windy,Unfastened,LOW,8.2,False,5.61,0
EVT00052,2025-12-17 06:32:00,EXC006,Excavator,OP1045,day,normal,3.26,23.4,86.0,Windy,Unfastened,LOW,3.1,True,6.91,2
EVT00623,2025-05-14 08:22:00,BCK004,Backhoe,OP1021,day,normal,3.73,9.5,83.1,Sunny,Unfastened,LOW,15.5,True,6.56,2
SYNTH010189,2025-06-24 09:21:05,LDR002,Loader,OP1015,day,high_fuel,5.79,20.5,87.7,Cloudy,Unfastened,MEDIUM,10.2,False,24.08,3
EVT00332,2025-10-03 23:10:00,LDR002,Loader,OP1009,night,normal,6.15,0.5,93.0,Cloudy,Fastened,HIGH,6.7,True,7.6,0
EVT00248,2025-04-11 17:44:00,EXC002,Excavator,OP1053,day,normal,6.36,13.1,87.7,Windy,Unfastened,LOW,9.8,True,5.46,0
SYNTH010425,2025-06-26 20:26:50,DZR001,Dozer,OP1037,night,proximity_breach,7.55,1.1,85.8,Sunny,Fastened,HIGH,13.4,True,12.18,4
EVT00355,2025-09-23 07:12:00,EXC005,Excavator,OP1044,day,normal,2.97,14.6,82.9,Windy,Unfastened,LOW,7.5,False,7.0,0
SYNTH010123,2025-06-23 16:48:51,BCK002,Backhoe,OP1053,day,erratic_accel,14.11,14.3,84.8,Foggy,Unfastened,MEDIUM,6.0,True,14.11,6
SYNTH010294,2025-06-25 11:32:23,BCK002,Backhoe,OP1016,day,overspeed,20.12,19.0,100.9,Windy,Unfastened,HIGH,12.8,True,21.65,8
EVT00335,2025-10-03 23:50:00,LDR002,Loader,OP1009,night,normal,4.68,14.7,87.8,Cloudy,Unfastened,LOW,2.1,True,7.02,2
EVT00537,2026-09-07 08:50:00,LDR001,Loader,OP1034,day,normal,7.71,0.5,83.1,Windy,Fastened,HIGH,7.2,False,6.16,2
SYNTH010220,2025-06-24 17:01:42,LDR003,Loader,OP1056,day,high_fuel,5.21,14.7,91.9,Sunny,Unfastened,LOW,6.2,False,20.93,2
SYNTH010344,2025-06-26 00:02:27,GRD003,Grader,OP1057,night,temp_spike,3.18,13.3,112.0,Cloudy,Unfastened,HIGH,14.8,True,15.74,0
EVT00505,2026-08-11 09:44:00,GRD002,Grader,OP1027,day,normal,7.32,0.6,87.2,Sunny,Fastened,HIGH,6.2,True,7.4,2
SYNTH010264,2025-06-25 04:11:13,BCK004,Backhoe,OP1023,night,high_fuel,6.95,15.7,96.6,Sunny,Unfastened,LOW,1.9,True,27.59,3
SYNTH010248,2025-06-25 00:09:52,BCK004,Backhoe,OP1055,night,high_fuel,3.5,20.9,95.5,Windy,Fastened,MEDIUM,7.9,True,29.78,2
EVT00129,2025-12-10 13:18:00,GRD003,Grader,OP1019,day,proximity_breach,8.22,2.5,86.5,Cloudy,Fastened,HIGH,5.4,True,7.23,4
SYNTH010312,2025-06-25 16:06:02,GRD003,Grader,OP1034,day,overspeed,15.77,11.7,95.9,Cloudy,Fastened,MEDIUM,3.7,True,20.64,8
EVT00193,2026-05-06 05:06:00,EXC005,Excavator,OP1025,night,normal,4.51,0.8,89.6,Cloudy,Unfastened,MEDIUM,10.3,True,6.2,1
EVT00293,2026-06-18 14:48:00,LDR002,Loader,OP1050,day,normal,2.25,18.3,84.3,Rainy,Unfastened,LOW,4.7,True,9.58,1
EVT00032,2025-03-10 14:10:00,DZR004,Dozer,OP1035,day,normal,4.92,30.4,88.2,Sunny,Unfastened,LOW,4.3,True,5.44,2
SYNTH010221,2025-06-24 17:16:48,LDR003,Loader,OP1014,day,high_fuel,5.24,26.4,88.8,Rainy,Unfastened,LOW,10.1,True,22.66,5
EVT00232,2025-04-11 13:36:00,EXC002,Excavator,OP1053,day,normal,5.91,14.1,88.3,Windy,Unfastened,LOW,12.2,True,7.74,0
EVT00589,2025-01-27 22:38:00,EXC007,Excavator,OP1003,night,normal,4.85,13.0,82.1,Sunny,Unfastened,LOW,12.5,True,6.78,0
EVT00102,2025-12-10 09:10:00,GRD003,Grader,OP1019,day,proximity_breach,7.36,1.2,88.0,Cloudy,Fastened,HIGH,2.5,False,7.54,2
EVT00309,2025-10-03 20:46:00,LDR002,Loader,OP1009,night,proximity_breach,8.1,1.7,81.5,Cloudy,Fastened,HIGH,6.8,True,7.15,4
