task_id,timestamp,hour_of_day,day_of_week,month,shift_type,operator_id,machine_id,machine_type,task_type,weather,soil_condition,operator_skill_level,operator_experience_years,engine_hours,fuel_level_pct,payload_tonnes,temperature_c,distance_m,idle_time_pct,previous_task_time_min,estimated_time_min,actual_time_min,time_delta_min
T00001,2026-05-22 19:16:44,19,4,5,night,OP1024,BCK001,Backhoe,Transfer,Rainy,Loose,Beginner,1.5,6742.8,86.3,7.36,40.2,60.9,28.4,14.0,33.6,75.0,41.4
T00002,2025-04-18 10:38:43,10,4,4,day,OP1049,DZR002,Dozer,Foundation Digging,Sunny,Loose,Beginner,0.8,3250.6,62.3,12.9,34.5,275.3,36.6,108.8,81.1,121.2,40.1
T00003,2026-05-06 13:38:31,13,2,5,day,OP1045,DZR003,Dozer,Transfer,Cloudy,Dry,Intermediate,6.5,5659.1,75.9,9.62,40.4,85.1,24.1,61.3,27.8,42.3,14.5
T00004,2025-11-25 08:29:51,8,1,11,day,OP1047,EXC007,Excavator,Site Clearing,Sunny,Clay,Beginner,2.8,5759.8,63.0,13.65,28.8,259.7,31.4,103.8,84.6,126.6,42.0
T00005,2026-01-01 11:27:28,11,3,1,day,OP1018,EXC002,Excavator,Earth Excavation,Cloudy,Wet,Expert,15.8,2822.2,50.9,11.57,13.7,152.1,18.3,81.4,69.0,65.5,-3.5
T00006,2025-03-24 06:58:20,6,0,3,day,OP1041,BCK002,Backhoe,Earth Excavation,Sunny,Clay,Intermediate,4.3,3245.5,68.0,11.07,28.6,240.8,5,46.1,65.7,63.5,-2.2
T00007,2026-06-02 12:18:18,12,1,6,day,OP1040,BCK004,Backhoe,Trenching,Foggy,Wet,Intermediate,8.2,4414.8,61.7,13.91,31.8,172.1,28.5,72.8,65.7,79.7,14.0
T00008,2025-12-09 22:40:36,22,1,12,night,OP1044,EXC008,Excavator,Demolition,Windy,Clay,Beginner,1.1,2886.9,40.4,5.97,13.1,187.6,26.3,11.0,105.9,168.6,62.7
T00009,2025-12-16 10:49:11,10,1,12,day,OP1020,BCK003,Backhoe,Foundation Digging,Foggy,Clay,Intermediate,8.4,3871.6,66.0,3.29,13.8,54.1,25.6,41.7,99.2,101.7,2.5
T00010,2025-01-31 00:48:17,0,4,1,night,OP1018,GRD002,Grader,Earth Excavation,Windy,Wet,Expert,15.8,3275.8,74.0,13.46,12.3,121.1,11.5,15.3,72.5,74.0,1.5
T00011,2025-05-10 21:27:56,21,5,5,night,OP1045,DZR003,Dozer,Demolition,Rainy,Loose,Intermediate,6.5,3026.2,52.5,7.25,40.0,163.3,22.8,103.5,117.9,138.7,20.8
T00012,2026-07-11 08:04:44,8,5,7,day,OP1024,GRD003,Grader,Transfer,Rainy,Dry,Beginner,1.5,4146.9,88.1,15.34,32.5,109.6,16.7,32.2,30.5,39.9,9.4
T00013,2025-10-02 03:09:03,3,3,10,night,OP1030,EXC004,Excavator,Material Loading,Cloudy,Rocky,Intermediate,4.1,2888.7,69.3,17.4,24.8,10,23.7,90.2,41.5,43.9,2.4
T00014,2025-03-29 13:57:09,13,5,3,day,OP1027,LDR003,Loader,Demolition,Rainy,Rocky,Intermediate,6.2,1510.0,41.7,5.21,25.9,92.0,33.2,14.2,127.8,144.6,16.8
T00015,2026-01-25 03:48:45,3,6,1,night,OP1016,GRD002,Grader,Foundation Digging,Sunny,Loose,Beginner,2.9,5897.4,76.7,8.72,24.4,13.4,30.9,43.6,89.5,126.0,36.5
T00016,2025-05-05 22:32:34,22,0,5,night,OP1034,DZR002,Dozer,Earth Excavation,Rainy,Loose,Beginner,1.3,3378.3,41.2,18.0,45.3,204.3,14.6,91.7,72.7,79.5,6.8
T00017,2026-04-05 00:21:40,0,6,4,night,OP1057,DZR003,Dozer,Earth Excavation,Cloudy,Wet,Beginner,2.8,5428.8,45.2,18.46,26.9,143.0,5,50.2,76.1,93.9,17.8
T00018,2025-03-13 09:54:16,9,3,3,day,OP1010,EXC008,Excavator,Foundation Digging,Cloudy,Wet,Intermediate,8.6,904.7,75.3,15.31,27.8,69.4,36.9,58.5,88.1,105.7,17.6
T00019,2026-07-16 00:51:24,0,3,7,night,OP1011,EXC003,Excavator,Transfer,Foggy,Clay,Intermediate,6.7,5174.8,98,9.18,27.9,67.9,30.6,67.6,32.3,43.7,11.4
T00020,2025-12-24 14:20:34,14,2,12,day,OP1026,LDR001,Loader,Earth Excavation,Cloudy,Dry,Beginner,2.3,4233.2,56.8,15.83,23.6,10,26.5,59.4,63.9,107.9,44.0
T00021,2025-06-18 15:03:29,15,2,6,day,OP1042,EXC002,Excavator,Demolition,Rainy,Dry,Beginner,1.3,1385.2,58.3,14.18,28.3,178.7,25.2,24.5,107.2,153.2,46.0
T00022,2025-11-27 20:45:19,20,3,11,night,OP1053,DZR003,Dozer,Demolition,Rainy,Rocky,Intermediate,7.0,4493.3,54.1,17.71,24.5,202.2,37.0,92.8,148.5,192.4,43.9
