timestamp,hour_of_day,day_of_week,month,shift_type,shift_elapsed_min,machine_id,machine_type,operator_id,engine_hours,ambient_temp_c,weather,speed_kmh,rpm,engine_temp_c,fuel_level_pct,idle_pct,working_fuel_rate_lph,idle_fuel_rate_lph,blended_fuel_rate_lph,speed_variance,acceleration_events,worker_distance_m,seatbelt_status,safety_alert,risk_level,anomaly_type,anomaly_label
06:00:00,6,0,3,day,0,DZR004,Dozer,OP1035,1375.5,33.5,Sunny,6.42,1479,33.5,85.7,60,14.33,3.27,7.69,0.36,1,17.6,Fastened,FALSE,LOW,normal,1
06:02:00,6,0,3,day,2,DZR004,Dozer,OP1035,1375.5,33.5,Sunny,5.03,1703,37.8,85.6,49.5,12.26,2.36,7.36,0.75,2,20.9,Fastened,FALSE,LOW,normal,1
06:04:00,6,0,3,day,4,DZR004,Dozer,OP1035,1375.5,33.5,Sunny,4.4,1165,42,85.5,44.5,12.25,2.64,7.97,0.39,0,14.2,Fastened,FALSE,LOW,normal,1
06:06:00,6,0,3,day,6,DZR004,Dozer,OP1035,1375.5,33.5,Sunny,5.24,1506,46.3,85.5,55.9,13.14,2.53,7.21,0.28,1,14.1,Fastened,FALSE,LOW,normal,1
06:08:00,6,0,3,day,8,DZR004,Dozer,OP1035,1375.5,33.5,Sunny,4.14,1158,50.6,85.4,43.6,13.04,3.51,8.88,0.96,4,15,Fastened,FALSE,LOW,normal,1
06:10:00,6,0,3,day,10,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,5.7,944,54.9,85.3,55,12.93,3.52,7.75,0.85,4,15.3,Fastened,FALSE,LOW,normal,1
06:12:00,6,0,3,day,12,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,5.16,1529,59.2,85.2,38.2,9.38,3.77,7.24,0.6,0,12.9,Fastened,FALSE,LOW,normal,1
06:14:00,6,0,3,day,14,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,5.81,1373,63.4,85.2,60,12.45,3.08,6.83,0.25,1,15.8,Fastened,FALSE,LOW,normal,1
06:16:00,6,0,3,day,16,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,6.94,968,67.7,85.1,48.3,11.37,3.96,7.79,0.69,4,29.7,Fastened,FALSE,LOW,normal,1
06:18:00,6,0,3,day,18,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,4.21,1889,72,85.1,53,10.63,3.35,6.77,0.49,1,19.3,Fastened,FALSE,LOW,normal,1
06:20:00,6,0,3,day,20,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,2.97,1268,76.3,85,49.3,13.99,2.68,8.41,1.15,1,16.1,Fastened,FALSE,LOW,normal,1
06:22:00,6,0,3,day,22,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,3.88,1449,80.6,84.9,39.6,15.02,2.65,10.12,0.52,2,11.8,Unfastened,TRUE,LOW,normal,1
06:24:00,6,0,3,day,24,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,8.69,1638,84.9,84.8,50.2,11.41,2.99,7.18,0.27,0,18.8,Fastened,FALSE,LOW,normal,1
06:26:00,6,0,3,day,26,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,7.63,1048,83.2,84.8,48.4,9.81,2.53,6.29,0.43,2,7.4,Fastened,FALSE,MEDIUM,normal,1
06:28:00,6,0,3,day,28,DZR004,Dozer,OP1035,1375.6,33.5,Sunny,5.16,1578,88.5,84.7,48.3,9.03,3.61,6.41,1.22,0,10.5,Fastened,FALSE,LOW,normal,1
06:30:00,6,0,3,day,30,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,6.02,2138,86.7,84.6,40.5,12.88,2.78,8.79,0.58,0,23.8,Fastened,FALSE,LOW,normal,1
06:32:00,6,0,3,day,32,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,3.93,1379,89.3,84.6,60,10.13,2.95,5.82,0.36,3,24.7,Fastened,FALSE,LOW,normal,1
06:34:00,6,0,3,day,34,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,4.72,1198,88.2,84.5,59,11.23,2.5,6.08,1.13,0,22.2,Fastened,FALSE,LOW,normal,1
06:36:00,6,0,3,day,36,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,6.61,1650,86.8,84.5,47.5,9.97,2.42,6.38,0.58,2,22.3,Fastened,FALSE,LOW,normal,1
06:38:00,6,0,3,day,38,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,4.41,1535,85.7,84.4,53.2,9.3,3.32,6.12,0.96,3,23,Fastened,FALSE,LOW,normal,1
06:40:00,6,0,3,day,40,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,3.89,1091,90.5,84.3,38.9,11.51,2.93,8.17,1.3,2,26.3,Fastened,FALSE,LOW,normal,1
06:42:00,6,0,3,day,42,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,4.69,1441,91.6,84.3,40.4,10.91,2.86,7.66,0.66,3,0.5,Fastened,FALSE,MEDIUM,normal,1
06:44:00,6,0,3,day,44,DZR004,Dozer,OP1035,1375.7,33.5,Sunny,6.75,1469,84.5,84.2,56.9,10.03,3.21,6.15,0.31,2,7.6,Fastened,FALSE,MEDIUM,normal,1
